period,sheet,row,percentile,official,computed,lower,difference
2024-01,Sub-ICB,271,0.92,22.64,22.640000000000004,22,3.552713678800501e-15
2024-01,Sub-ICB,272,0.5,13.6606280193237,13.66062801932367,13,-3.019806626980426e-14
2024-01,Sub-ICB,272,0.92,40.6364179104478,40.63641791044777,40,-2.842170943040401e-14
2024-01,Sub-ICB,273,0.5,11.0,11.0,10,0.0
2024-01,Sub-ICB,273,0.92,35.4972,35.497200000000014,35,1.4210854715202004e-14
2024-01,Sub-ICB,274,0.5,10.947619047619,10.947619047619048,10,4.796163466380676e-14
2024-01,Sub-ICB,274,0.92,59.2864,59.28639999999999,59,-7.105427357601002e-15
2024-01,Sub-ICB,275,0.5,13.0822784810127,13.082278481012658,13,-4.263256414560601e-14
2024-01,Sub-ICB,275,0.92,39.9175,39.91750000000002,39,2.1316282072803006e-14
2024-01,Sub-ICB,276,0.5,12.8883495145631,12.888349514563107,12,7.105427357601002e-15
2024-01,Sub-ICB,276,0.92,36.7499259259259,36.74992592592592,36,2.1316282072803006e-14
2024-01,Sub-ICB,277,0.5,11.0347222222222,11.034722222222221,11,2.1316282072803006e-14
2024-01,Sub-ICB,277,0.92,31.3482926829268,31.348292682926836,31,3.552713678800501e-14
2024-01,Sub-ICB,278,0.5,12.6060987903226,12.60609879032258,12,-1.9539925233402755e-14
2024-01,Sub-ICB,278,0.92,37.1521523809524,37.15215238095239,37,-1.4210854715202004e-14
2024-01,Sub-ICB,279,0.5,18.4788273615635,18.478827361563518,18,1.7763568394002505e-14
2024-01,Sub-ICB,279,0.92,50.6067415730337,50.60674157303371,50,7.105427357601002e-15
2024-01,Sub-ICB,280,0.5,15.59963099631,15.599630996309964,15,-3.552713678800501e-14
2024-01,Sub-ICB,280,0.92,41.3748148148148,41.37481481481481,41,1.4210854715202004e-14
2024-01,Sub-ICB,281,0.5,18.0511022044088,18.051102204408817,18,1.7763568394002505e-14
2024-01,Sub-ICB,281,0.92,49.0295798319328,49.02957983193278,49,-2.1316282072803006e-14
2024-01,Sub-ICB,282,0.5,21.2719123505976,21.27191235059761,21,1.0658141036401503e-14
2024-01,Sub-ICB,282,0.92,52.038773006135,52.03877300613497,52,-3.552713678800501e-14
2024-01,Sub-ICB,283,0.5,16.8923076923077,16.892307692307693,16,-7.105427357601002e-15
2024-01,Sub-ICB,283,0.92,42.54,42.540000000000006,42,7.105427357601002e-15
2024-01,Sub-ICB,284,0.5,15.8995037220844,15.899503722084367,15,-3.375077994860476e-14
2024-01,Sub-ICB,284,0.92,40.0634482758621,40.06344827586207,40,-2.842170943040401e-14
2024-01,Sub-ICB,285,0.5,17.8289473684211,17.82894736842105,17,-4.973799150320701e-14
2024-01,Sub-ICB,285,0.92,47.632,47.63200000000002,47,2.1316282072803006e-14
2024-01,Sub-ICB,286,0.5,21.4,21.4,21,0.0
